,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_top1_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_top1_acc_till_current_batch,avg_test_loss_till_current_batch,avg_test_top1_acc_till_current_batch
0,hubert,train,original,1,2e-05,32,1,1.82869553565979,1.82869553565979,12.5,,,,
1,hubert,train,original,1,2e-05,32,2,1.8033721446990967,1.8160338401794434,10.9375,,,,
2,hubert,train,original,1,2e-05,32,3,1.8039733171463013,1.8120136658350627,16.666666666666668,,,,
3,hubert,train,original,1,2e-05,32,4,1.799509048461914,1.8088875114917755,15.625,,,,
4,hubert,train,original,1,2e-05,32,5,1.7563247680664062,1.7983749628067016,16.25,,,,
5,hubert,train,original,1,2e-05,32,6,1.8787097930908203,1.8117641011873882,15.104166666666666,,,,
6,hubert,train,original,1,2e-05,32,7,1.7323741912841797,1.8004226854869299,16.517857142857142,,,,
7,hubert,train,original,1,2e-05,32,8,1.8435440063476562,1.8058128505945206,16.015625,,,,
8,hubert,train,original,1,2e-05,32,9,1.7889950275421143,1.8039442035886977,16.319444444444443,,,,
9,hubert,train,original,1,2e-05,32,10,1.693863034248352,1.792936086654663,18.125,,,,
10,hubert,train,original,1,2e-05,32,11,1.8341509103775024,1.796682888811285,17.613636363636363,,,,
11,hubert,train,original,1,2e-05,32,12,1.774710774421692,1.7948518792788188,17.96875,,,,
12,hubert,train,original,1,2e-05,32,13,1.7244873046875,1.7894392196948712,19.23076923076923,,,,
13,hubert,train,original,1,2e-05,32,14,1.7627403736114502,1.787532159260341,19.866071428571427,,,,
14,hubert,train,original,1,2e-05,32,15,1.7448828220367432,1.7846888701121013,20.208333333333332,,,,
15,hubert,train,original,1,2e-05,32,16,1.7083529233932495,1.779917873442173,20.8984375,,,,
16,hubert,train,original,1,2e-05,32,17,1.6900590658187866,1.7746320612290327,21.139705882352942,,,,
17,hubert,train,original,1,2e-05,32,18,1.6951502561569214,1.7702164053916931,21.180555555555557,,,,
18,hubert,train,original,1,2e-05,32,19,1.6570641994476318,1.7642610261314793,21.54605263157895,,,,
19,hubert,train,original,1,2e-05,32,20,1.69504714012146,1.7608003318309784,22.1875,,,,
20,hubert,train,original,1,2e-05,32,21,1.6382728815078735,1.754965691339402,22.61904761904762,,,,
21,hubert,train,original,1,2e-05,32,22,1.573156476020813,1.746701636097648,23.4375,,,,
